ITL.region.code,ITL.region.name,GVA,GDP,value
TLC11,Hartlepool and Stockton-on-Tees,31,7777,0.40
TLC12,South Teesside,86,5779,1.49
TLC13,Darlington,26,2790,0.93
TLC14,Durham CC,116,11018,1.05
TLC21,Northumberland,266,6557,4.06
TLC22,Tyneside,31,23482,0.13
TLC23,Sunderland,7,7642,0.09
TLD11,West Cumbria,119,5651,2.11
TLD12,East Cumbria,298,8064,3.70
TLD33,Manchester,5,28224,0.02
TLD34,Greater Manchester South West,18,20029,0.09
TLD35,Greater Manchester South East,17,12233,0.14
TLD36,Greater Manchester North West,19,13779,0.14
TLD37,Greater Manchester North East,12,13438,0.09
TLD41,Blackburn with Darwen,3,3852,0.08
TLD42,Blackpool,0,3116,0.00
TLD44,Lancaster and Wyre,70,5459,1.28
TLD45,Mid Lancashire,105,14467,0.73
TLD46,East Lancashire,12,7383,0.16
TLD47,Chorley and West Lancashire,78,5653,1.38
TLD61,Warrington,6,9337,0.06
TLD62,Cheshire East,133,16078,0.83
TLD63,Cheshire West and Chester,114,13062,0.87
TLD71,East Merseyside,25,12504,0.20
TLD72,Liverpool,1,15911,0.01
TLD73,Sefton,10,5431,0.18
TLD74,Wirral,6,6632,0.09
TLE11,"Kingston upon Hull, City of",1,6879,0.01
TLE12,East Riding of Yorkshire,379,8603,4.41
TLE13,North and North East Lincolnshire,110,10073,1.09
TLE21,York,21,6862,0.31
TLE22,North Yorkshire CC,649,18241,3.56
TLE31,"Barnsley, Doncaster and Rotherham",83,18113,0.46
TLE32,Sheffield,13,15415,0.08
TLE41,Bradford,15,11912,0.13
TLE42,Leeds,59,30553,0.19
TLE44,Calderdale and Kirklees,53,15371,0.34
TLE45,Wakefield,41,9771,0.42
TLF11,Derby,21,8363,0.25
TLF12,East Derbyshire,39,7619,0.51
TLF13,South and West Derbyshire,234,13058,1.79
TLF14,Nottingham,0,11818,0.00
TLF15,North Nottinghamshire,162,11605,1.40
TLF16,South Nottinghamshire,66,8302,0.79
TLF21,Leicester,3,10193,0.03
TLF22,Leicestershire CC and Rutland,477,21300,2.24
TLF24,West Northamptonshire,91,14664,0.62
TLF25,North Northamptonshire,73,8482,0.86
TLF30,Lincolnshire CC,1078,18824,5.73
TLG11,"Herefordshire, County of",349,4729,7.38
TLG12,Worcestershire CC,174,16437,1.06
TLG13,Warwickshire CC,190,22093,0.86
TLG21,Telford and Wrekin,45,5514,0.82
TLG22,Shropshire CC,362,7692,4.71
TLG23,Stoke-on-Trent,6,7026,0.09
TLG24,Staffordshire CC,248,22064,1.12
TLG31,Birmingham,15,31966,0.05
TLG32,Solihull,12,10478,0.11
TLG33,Coventry,4,11094,0.04
TLG36,Dudley,2,6366,0.03
TLG37,Sandwell,0,7355,0.00
TLG38,Walsall,4,5583,0.07
TLG39,Wolverhampton,0,6233,0.00
TLH11,Peterborough,51,7616,0.67
TLH12,Cambridgeshire CC,491,24082,2.04
TLH14,Suffolk CC,482,22091,2.18
TLH15,Norwich and East Norfolk,69,11126,0.62
TLH16,North and West Norfolk,241,5704,4.23
TLH17,Breckland and South Norfolk,240,6643,3.61
TLH21,Luton,1,5552,0.02
TLH23,Hertfordshire CC,96,46835,0.20
TLH24,Bedford,27,5411,0.50
TLH25,Central Bedfordshire,92,7047,1.31
TLH31,Southend-on-Sea,3,3492,0.09
TLH32,Thurrock,7,5150,0.14
TLH34,Essex Haven Gateway,127,12024,1.06
TLH35,West Essex,104,9451,1.10
TLH36,Heart of Essex,75,11106,0.68
TLH37,Essex Thames Gateway,14,9921,0.14
TLI31,Camden and City of London,29,127591,0.02
TLI32,Westminster,118,78385,0.15
TLI33,Kensington & Chelsea and Hammersmith & Fulham,9,22876,0.04
TLI34,Wandsworth,2,8971,0.02
TLI41,Hackney and Newham,1,19674,0.01
TLI42,Tower Hamlets,0,40258,0.00
